语言学术语	yuyanxueshuyu
第四人称	disirencheng
第一不定式	diyibudingshi
第一次语音演变	diyiciyuyinyanbian
第一分节	diyifenjie
第一级语言	diyijiyuyan
第一人称	diyirencheng
第一人称命令式	diyirenchengminglingshi
第一语言	diyiyuyan

第一语言模式	diyiyuyanmoshi
第一语言习得	diyiyuyanxide
颠倒极性	diandaojixing
颠倒失误	diandaoshiwu
颠倒式误读	diandaoshiwudu
典礼演说	dianliyanshuo
典型范畴	dianxingfanchou
典型概念	dianxinggainian
典型特征	dianxingtezheng
典型效应	dianxingxiaoying
典型形式	dianxingxingshi
点阵式字符	dianzhenshizifu
电报式话语	dianbaoshihuayu
电动记波器	diandongjiboqi
电发音通道	dianfayintongdao
电子波形图	dianziboxingtu
电子腭动作记录图	dianziedongzuojilutu
电子腭动作记录仪	dianziedongzuojiluyi
电子腭位观察仪	dianzieweiguanchayi
电子肌动记录图	dianzijidongjilutu
电子肌动记录仪	dianzijidongjiluyi
电子量气术	dianziliangqishu
掉音	diaoyin
调查表	diaochabiao
调查合作人	diaochahezuoren
调符	diaofu
调幅低限	tiaofudixian
调核	diaohe
调类	diaolei
调群	diaoqun
调尾	diaowei
调位	diaowei
调位学	diaoweixue
调值	diaozhi
叠叙法	diexufa
叠音词	dieyinci
叠用	dieyong
叮咚理论	dingdonglilun
顶真	dingzhen
定冠词	dingguanci
定量表述法	dingliangbiaoshufa
定量方法	dingliangfangfa
定量研究	dingliangyanjiu
定时	dingshi
定式动词	dingshidongci
定式手势	dingshishoushi
定位手势	dingweishoushi
定向接收	dingxiangjieshou
定向结构	dingxiangjiegou
定型词	dingxingci
定性数据	dingxingshuju
定性研究	dingxingyanjiu
定义词汇	dingyicihui
定义法	dingyifa
定语	dingyu
定语从句	dingyucongju
定语形容词	dingyuxingrongci
定语性物主代词	dingyuxingwuzhudaici
定指	dingzhi
定指限定词	dingzhixiandingci
定指限制	dingzhixianzhi
定指效应	dingzhixiaoying
动词补语从句	dongcibuyucongju
动词词尾	dongciciwei
动词短语	dongciduanyu
动词短语壳假说	dongciduanyukejiashuo
动词短语内主语假说	dongciduanyuneizhuyujiashuo
动词短语前置	dongciduanyuqianzhi
动词短语省略	dongciduanyushenglve
动词非谓语形式	dongcifeiweiyuxingshi
动词非限定式	dongcifeixiandingshi
动词复合词	dongcifuheci
动词核	dongcihe
动词化	dongcihua
动词基本式	dongcijibenshi
动词拷贝结构	dongcikaobeijiegou
动词提升	dongcitisheng
动词体	dongciti
动词性词类	dongcixingcilei
动词性名词	dongcixingmingci
动词迂回变位形式	dongciyuhuibianweixingshi
动辅音	dongfuyin
动副词组合	dongfucizuhe
动机	dongji
动觉反馈	dongjuefankui
动力情态	dongliqingtai
动力重音	donglizhongyin
动名词	dongmingci
动名词分句	dongmingcifenju
动态动词	dongtaidongci
动态对等	dongtaiduideng
动态反对称	dongtaifanduichen
动态规划算法	dongtaiguihuasuanfa
动态规律	dongtaiguilv
动态语境	dongtaiyujing
动态语义学	dongtaiyuyixue
动物符号学	dongwufuhaoxue
动物交际	dongwujiaoji
动物叫声拟声论	dongwujiaoshengnishenglun
动物叫声说	dongwujiaoshengshuo
动物语言	dongwuyuyan
动形词	dongxingci
动源介词	dongyuanjieci
